glottocode,LANGUAGE,FAMILY,MARKER,GLOSS,STATUS,AFFIXED_TO,NEG_SCOPING_OVER,AFFIX_SCOPING_OVER_NEG,EXAMPLE,GLOSS,TRANSLATION,COMMENT,REFERENCE,TYPE_OF_REFERENCE,PAGE,PAGE_EXTRA,,,
culi1244,Kulina,Arauan,-hara,NEG.M,suffix,v,,DECL,makhidehe o/-zokhe-hara-i,man 3-die-SG-NEG.m-DELC.m,The man didn’t die,inflectional negation,Dienst 2014,Grammar,73,,,,
culi1244,Kulina,Arauan,-hera,NEG.F,suffix,v,,DECL,amonehe o/-zokhe-hera-ni,woman 3-die.SG-NEG.f-DECL.f,The woman didn’t die,inflectional negation,Dienst 2014,Grammar,73,,,,
culi1244,Kulina,Arauan,-ra ,NEG,suffix,"v, adj, adv",,DECL,khi o/-ke-na-raa nowe 0/-ra-i,look.for 3-NSG.A-AUX-AVRS exist 3-NEG-DECL.m,"They were looking for him, but the was not there",Derivational negation,Dienst 2014,Grammar,261,,,,
culi1244,Kulina,Arauan,-hara,NEG.M,suffix,v,,IMP ,Ti-hipa-hara-ho,2-eat-NEG.m-IMP.m,Don’t eat it! (masculine form of the verb agreeing with the unnamed object) ,inflectional negation,Dienst 2014,Grammar,117,,,,
culi1244,Kulina,Arauan,-hara,NEG.M,suffix,v,,PERSON,zamatapa o/-ka-hara-i,food(m) 3-be.cooked-NEG.m-DECL.m,The food isn’t cooked ,inflectional negation,Dienst 2014,Grammar,126,,,,
culi1244,Kulina,Arauan,-hera,NEG.F,suffix,v,,PERSON,O-kha-ni-hera-ni towi,1SG-move.SG-BACK-NEG.f-DECL.f FUT,I will not return,inflectional negation,Dienst 2014,Grammar,114,,,,
culi1244,Kulina,Arauan,-ra ,NEG,suffix,"v, adj, adv",,PL,wapima wati-ra-khiri o/-na-i,all talk-NEG-PL 3-AUX-DECL.m,Nobody (ever) talks [Everybody is taciturn],Derivational negation,Dienst 2014,Grammar,198,,,,
culi1244,Kulina,Arauan,-hara,NEG.M,suffix,v,,PST,ethe khi o-na-hara-pa,dog see 1SG-AUX-NEG.m-HPAST,I didn’t see the (male) dog,inflectional negation,Dienst 2014,Grammar,83,,,,
culi1244,Kulina,Arauan,-hera,NEG.F,suffix,v,,PST,ethe khi o-na-hera-pa ,dog see 1SG-AUX-NEG.f-HPAST,I didn’t see the (female) dog,inflectional negation,Dienst 2014,Grammar,83,,,,
culi1244,Kulina,Arauan,-hera,NEG.F,suffix,v,,Q,ti-hipa-hera-kha-ki,2-eat-NEG.f-ALREADY-Q.f,Haven’t you eaten yet?,Imperative negative word,Dienst 2014,Grammar,126,,,,
culi1244,Kulina,Arauan,-hera,NEG.F,suffix,v,DIR,,ia=pi hidapa=na motha=pi idi-deni-kha ima wati i-na-khima-hera-ni o-na-haro,1NSG=TOP.f now=NFC alone=TOP.f ancestor-NSG=ASS story tell 1NSG-AUX-DIR-NEG.f-DECL.f 1SG-AUX-NAR.f,"What I’m saying is that we, now, by ourselves, don´t tell the stories of our ancestors",inflectional negation,Dienst 2014,Grammar,290,,,,
mapu1245,Mapudungun,Araucanian,-ki ,NEG,suffix,,,COND,Wirar-ki-l-nge,Shout-NEG-COND-IMP2s,Don’t shout,Imperative suffix,Smeets (2008) ,Grammar,185,,,,
mapu1245,Mapudungun,Araucanian,-nu ,NEG,suffix,,,COND,"petú kudu-nu-l-m-i, ye-l-me-a-e-n fürkü ko","still lay.down-NEG-COND-2-s, carry-BEN-TH-NRLD-IDO-IND1S-DS cool water","If you are not going to bed yet, you must bring me cool water","Conditional forms, subordinates or nominal constructions",Smeets (2008) ,Grammar,244,,,,
mapu1245,Mapudungun,Araucanian,-ki ,NEG,suffix,,,IMP ,Wirar-ki-l-nge,Shout-NEG-COND-IMP2s,Don’t shout,Imperative suffix,Smeets (2008) ,Grammar,185,,,,
mapu1245,Mapudungun,Araucanian,-la ,NEG,suffix,,,IND,"Dungu-la-ya-y-m-i, fey-pi-e-l-y-u wülá",speak-NEG-NRLD-IND-2-s that-say-IDO-COND-1ns-d-DS then,you will not speak until I tell you so,occurs in indicative forms // ,Smeets (2008) ,Grammar,184,,,,
mapu1245,Mapudungun,Araucanian,-nu ,NEG,suffix,,,INST,Lladkü-le-n kim-nu-n-mu ñi chum-le-n ñi püñeñ,become.sad-ST-IND1s know-NEG-PVN-INST poss3 how-ST-PVN poss1s son ,I am sad because I dont know how my son is doing (lit. I am sad for not knowing his how being my son) ,"Conditional forms, subordinates or nominal constructions",Smeets (2008) ,Grammar,193,,,,
mapu1245,Mapudungun,Araucanian,-la ,NEG,suffix,,,IPD,"iñché küdaw-me-nu-a-fu-l-i Arxentina, pepí wew-la-ya-fu-n plata","I work-TH-NEG-NRLD-IPD-COND-1-s Argentina, being.able earn-NEG-NRLD-IPD-IND1s money","If I had not gone to work to Argentina, I would not have earned money",,Smeets (2008) ,Grammar,242,,,,
mapu1245,Mapudungun,Araucanian,-nu ,NEG,suffix,,,IPD,"iñché küdaw-me-nu-a-fu-l-i Arxentina, pepí wew-la-ya-fu-n plata","I work-TH-NEG-NRLD-IPD-COND-1-s Argentina, being.able earn-NEG-NRLD-IPD-IND1s money","If I had not gone to work to Argentina, I would not have earned money","Conditional forms, subordinates or nominal constructions",Smeets (2008) ,Grammar,242,,,,
mapu1245,Mapudungun,Araucanian,-la ,NEG,suffix,,,NRLD,"Dungu-la-ya-y-m-i, fey-pi-e-l-y-u wülá",speak-NEG-NRLD-IND-2-s that-say-IDO-COND-1ns-d-DS then,you will not speak until I tell you so,occurs in indicative forms // NRLD = non-realized,Smeets (2008) ,Grammar,184,,,,
mapu1245,Mapudungun,Araucanian,-nu ,NEG,suffix,,,NRLD,"iñché küdaw-me-nu-a-fu-l-i Arxentina, pepí wew-la-ya-fu-n plata","I work-TH-NEG-NRLD-IPD-COND-1-s Argentina, being.able earn-NEG-NRLD-IPD-IND1s money","If I had not gone to work to Argentina, I would not have earned money","Conditional forms, subordinates or nominal constructions",Smeets (2008) ,Grammar,242,,,,
mapu1245,Mapudungun,Araucanian,-la ,NEG,suffix,,,OBJ,Kümé pe-nie-la-fi-n ñi pinta-le-n kam ñi pinta-le-nu-n,good see-PRPS-NEG-EDO-IND1s poss3 paint-ST-PVN or poss3 paint-ST-NEG-PVN,I cant see (it) well whether it is painted or not.,,Smeets (2008) ,Grammar,193,,,,
